Local Timestamp Pacific Time (Interval Ending),SP-15 LMP,Local Date,Hour Number
2023-01-05 13:30:00,146.1486,2023-01-05,14
2023-01-05 13:45:00,143.09348,2023-01-05,14
2023-01-05 14:00:00,133.78394,2023-01-05,14
2023-01-05 14:15:00,132.99957,2023-01-05,15
2023-01-05 14:30:00,131.96153,2023-01-05,15
2023-01-05 14:45:00,133.54465,2023-01-05,15
2023-01-05 15:00:00,136.07104,2023-01-05,15
2023-01-05 15:15:00,124.46648,2023-01-05,16
2023-01-05 15:30:00,139.51543,2023-01-05,16
2023-01-05 15:45:00,148.10507,2023-01-05,16
2023-01-05 16:00:00,199.6404,2023-01-05,16
2023-01-05 16:15:00,135.93709,2023-01-05,17
2023-01-05 16:30:00,147.25763,2023-01-05,17
2023-01-05 16:45:00,172.2063,2023-01-05,17
2023-01-05 17:00:00,199.98274,2023-01-05,17
2023-01-05 17:15:00,170.86906,2023-01-05,18
2023-01-05 17:30:00,184.93741,2023-01-05,18
2023-01-05 17:45:00,190.9505,2023-01-05,18
2023-01-05 18:00:00,179.89774,2023-01-05,18
2023-01-05 18:15:00,173.23615,2023-01-05,19
2023-01-05 18:30:00,168.56163,2023-01-05,19
2023-01-05 18:45:00,154.55768,2023-01-05,19
2023-01-05 19:00:00,142.70226,2023-01-05,19
2023-01-05 19:15:00,143.49644,2023-01-05,20
2023-01-05 19:30:00,141.71803,2023-01-05,20
2023-01-05 19:45:00,137.87405,2023-01-05,20
2023-01-05 20:00:00,134.5134,2023-01-05,20
2023-01-05 20:15:00,143.08528,2023-01-05,21
2023-01-05 20:30:00,144.74158,2023-01-05,21
2023-01-05 20:45:00,139.84499,2023-01-05,21
2023-01-05 21:00:00,136.72499,2023-01-05,21
2023-01-05 21:15:00,154.14587,2023-01-05,22
2023-01-05 21:30:00,153.14252,2023-01-05,22
2023-01-05 21:45:00,142.86732,2023-01-05,22
2023-01-05 22:00:00,135.43198,2023-01-05,22
2023-01-05 22:15:00,138.76772,2023-01-05,23
2023-01-05 22:30:00,136.03094,2023-01-05,23
2023-01-05 22:45:00,130.58849,2023-01-05,23
2023-01-05 23:00:00,123.93749,2023-01-05,23
2023-01-05 23:15:00,130.49432,2023-01-05,24
2023-01-05 23:30:00,128.77084,2023-01-05,24
2023-01-05 23:45:00,125.12467,2023-01-05,24
2023-01-06 00:00:00,119.40177,2023-01-05,24
2023-01-06 00:15:00,127.32439,2023-01-06,1
2023-01-06 00:30:00,132.41502,2023-01-06,1
2023-01-06 00:45:00,135.7867,2023-01-06,1
2023-01-06 01:00:00,126.63256,2023-01-06,1
2023-01-06 01:15:00,127.38202,2023-01-06,2
2023-01-06 01:30:00,126.68179,2023-01-06,2
2023-01-06 01:45:00,122.906,2023-01-06,2
2023-01-06 02:00:00,122.77528,2023-01-06,2
2023-01-06 02:15:00,134.02344,2023-01-06,3
2023-01-06 02:30:00,136.63008,2023-01-06,3
2023-01-06 02:45:00,138.63663,2023-01-06,3
2023-01-06 03:00:00,134.06145,2023-01-06,3
2023-01-06 03:15:00,145.34769,2023-01-06,4
2023-01-06 03:30:00,145.72002,2023-01-06,4
2023-01-06 03:45:00,148.81648,2023-01-06,4
2023-01-06 04:00:00,150.0,2023-01-06,4
2023-01-06 04:15:00,134.04527,2023-01-06,5
2023-01-06 04:30:00,143.11707,2023-01-06,5
2023-01-06 04:45:00,152.65417,2023-01-06,5
2023-01-06 05:00:00,154.47728,2023-01-06,5
2023-01-06 05:15:00,152.3354,2023-01-06,6
2023-01-06 05:30:00,154.98102,2023-01-06,6
2023-01-06 05:45:00,161.65298,2023-01-06,6
2023-01-06 06:00:00,174.0012,2023-01-06,6
2023-01-06 06:15:00,152.87906,2023-01-06,7
2023-01-06 06:30:00,155.27132,2023-01-06,7
2023-01-06 06:45:00,174.67384,2023-01-06,7
2023-01-06 07:00:00,181.12442,2023-01-06,7
2023-01-06 07:15:00,165.7062,2023-01-06,8
2023-01-06 07:30:00,158.63493,2023-01-06,8
2023-01-06 07:45:00,148.92735,2023-01-06,8
2023-01-06 08:00:00,136.30779,2023-01-06,8
